id,name,shortdescription,studycredit,location,level,interests_match_score,available_spots,start_date
159,Kennismaking met Psychologie,"Brein, gedragsbeinvloeding, ontwikkelingspsychologie, gespreksvoering en ontwikkelingsfasen.",15,Den Bosch,NLQF5,0.54,79,2025-12-24
160,Learning and working abroad,"Internationaal, persoonlijke ontwikkeling, verpleegkunde",15,Den Bosch,NLQF5,0.92,56,2025-12-20
161,Proactieve zorgplanning,"Proactieve zorgplanning, cocreatie, ziekenhuis",15,Den Bosch,NLQF5,0.78,55,2025-09-23
162,Rouw en verlies,"Rouw & verlies, palliatieve zorg & redeneren, trauma, culturele diversiteit",30,Den Bosch,NLQF6,0.69,54,2025-10-25
163,Acuut complexe zorg,"Acute zorg, complexiteit, ziekenhuis, revalidatie",30,Den Bosch,NLQF6,0.4,38,2025-11-19
164,Kraam kind en jeugd,"Jeugdzorg, neonatologie, verloskunde, kindzorg",30,Den Bosch,NLQF6,0.4,39,2025-12-04
165,"Profiel specifieke modulen Welzijn & Samenleving, Jeugd, Zorg","Jeugdzorg, geestelijke gezondheidzorg, rechtvaardige democratische gemeenschappen",15,Breda en Den Bosch,NLQF5,0.34,76,2025-11-14
166,"Happy city, happy people design lab","vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, SDG gestuurd. Aandacht voor Positieve Gezondheid in de brede betekenis.",15,Den Bosch,NLQF5,0.86,37,2025-12-27
167,Building & Sustaining vital communities,"vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, SDG gestuurd",30,Den Bosch,NLQF6,0.69,66,2025-09-16
168,GGZ Agoog,"Herstel en krachtgericht werk, leven met psychische kwetsbaarheid, levensloop gerichte beschrijvende diagnostiek en begeleiding en ondersteuning",30,Den Bosch,NLQF6,0.76,60,2025-09-08
169,Stevig staan in de Jeugdzorg,"Jeugdhulp en Jeugdbescherming, gezinnen onder druk, kinderen en met uitdagingen in de ontwikkeling, jongeren in ontwikkeling (preventie), pedagogische context versterken",30,Den Bosch,NLQF6,0.31,68,2025-09-04
170,Werken in gedwongen kader,"Herstelgerichte benadering, transmuraal herstel, positionering en engagement in een complexe omgeving, macht en dwang, motivationele theorieen",30,Den Bosch,NLQF6,0.93,33,2025-12-13
171,Technologie in zorg en welzijn,"Technologie, zorg, welzijn",30,Den Bosch,NLQF6,0.84,34,2025-09-04
172,Zorg dichtbij,"Zorg op afstand, technologie, implementeren, zorg, veranderkunde",15,Breda,NLQF5,0.44,50,2025-10-26
173,Langer thuis in de wijk,"wijkgericht werken, eigen regie, zorg, welzijn, ouderen",15,Breda,NLQF5,0.42,20,2025-09-25
